timestamp,direction,port,kind,source,event,fields_json,raw
2026-07-24T20:35:55.709+08:00,TX,COM16,LINK,SET,KP=2500,{},[SET:KP=2500]
2026-07-24T20:35:55.909+08:00,TX,COM16,LINK,SET,USER=42,{},[SET:USER=42]
2026-07-24T20:35:56.111+08:00,TX,COM16,LINK,SET,TGT=-80,{},[SET:TGT=-80]
2026-07-24T20:35:56.311+08:00,RX,COM16,ACK,,,"{""CMD"": ""KP"", ""VALUE"": 2500}","@ACK,CMD=KP,VALUE=2500"
2026-07-24T20:35:56.314+08:00,RX,COM16,TEL,,,"{""S"": 38, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": 100, ""M"": 100, ""E"": 0, ""O"": 0, ""U"": 7, ""R"": 1}","@TEL,S=38,KP=2500,KI=80,KD=30,T=100,M=100,E=0,O=0,U=7,R=1"
2026-07-24T20:35:56.315+08:00,RX,COM16,ACK,,,"{""CMD"": ""USER"", ""VALUE"": 42}","@ACK,CMD=USER,VALUE=42"
2026-07-24T20:35:56.316+08:00,RX,COM16,TEL,,,"{""S"": 39, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": 100, ""M"": 100, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 2}","@TEL,S=39,KP=2500,KI=80,KD=30,T=100,M=100,E=0,O=0,U=42,R=2"
2026-07-24T20:35:56.318+08:00,RX,COM16,TEL,,,"{""S"": 40, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": 100, ""M"": 100, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 2}","@TEL,S=40,KP=2500,KI=80,KD=30,T=100,M=100,E=0,O=0,U=42,R=2"
2026-07-24T20:35:56.319+08:00,RX,COM16,ACK,,,"{""CMD"": ""TGT"", ""VALUE"": -80}","@ACK,CMD=TGT,VALUE=-80"
2026-07-24T20:35:56.320+08:00,RX,COM16,TEL,,,"{""S"": 41, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": 100, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 3}","@TEL,S=41,KP=2500,KI=80,KD=30,T=-80,M=100,E=0,O=0,U=42,R=3"
2026-07-24T20:35:56.806+08:00,RX,COM16,TEL,,,"{""S"": 42, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": 55, ""E"": -135, ""O"": -337, ""U"": 42, ""R"": 3}","@TEL,S=42,KP=2500,KI=80,KD=30,T=-80,M=55,E=-135,O=-337,U=42,R=3"
2026-07-24T20:35:57.360+08:00,RX,COM16,TEL,,,"{""S"": 43, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": 22, ""E"": -102, ""O"": -255, ""U"": 42, ""R"": 3}","@TEL,S=43,KP=2500,KI=80,KD=30,T=-80,M=22,E=-102,O=-255,U=42,R=3"
2026-07-24T20:35:57.939+08:00,RX,COM16,TEL,,,"{""S"": 44, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -3, ""E"": -77, ""O"": -192, ""U"": 42, ""R"": 3}","@TEL,S=44,KP=2500,KI=80,KD=30,T=-80,M=-3,E=-77,O=-192,U=42,R=3"
2026-07-24T20:35:58.489+08:00,RX,COM16,TEL,,,"{""S"": 45, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -22, ""E"": -58, ""O"": -145, ""U"": 42, ""R"": 3}","@TEL,S=45,KP=2500,KI=80,KD=30,T=-80,M=-22,E=-58,O=-145,U=42,R=3"
2026-07-24T20:35:59.081+08:00,RX,COM16,TEL,,,"{""S"": 46, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -36, ""E"": -44, ""O"": -110, ""U"": 42, ""R"": 3}","@TEL,S=46,KP=2500,KI=80,KD=30,T=-80,M=-36,E=-44,O=-110,U=42,R=3"
2026-07-24T20:35:59.627+08:00,RX,COM16,TEL,,,"{""S"": 47, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -47, ""E"": -33, ""O"": -82, ""U"": 42, ""R"": 3}","@TEL,S=47,KP=2500,KI=80,KD=30,T=-80,M=-47,E=-33,O=-82,U=42,R=3"
2026-07-24T20:36:00.209+08:00,RX,COM16,TEL,,,"{""S"": 48, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -55, ""E"": -25, ""O"": -62, ""U"": 42, ""R"": 3}","@TEL,S=48,KP=2500,KI=80,KD=30,T=-80,M=-55,E=-25,O=-62,U=42,R=3"
2026-07-24T20:36:00.781+08:00,RX,COM16,TEL,,,"{""S"": 49, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -61, ""E"": -19, ""O"": -47, ""U"": 42, ""R"": 3}","@TEL,S=49,KP=2500,KI=80,KD=30,T=-80,M=-61,E=-19,O=-47,U=42,R=3"
2026-07-24T20:36:01.345+08:00,RX,COM16,TEL,,,"{""S"": 50, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -65, ""E"": -15, ""O"": -37, ""U"": 42, ""R"": 3}","@TEL,S=50,KP=2500,KI=80,KD=30,T=-80,M=-65,E=-15,O=-37,U=42,R=3"
2026-07-24T20:36:01.893+08:00,RX,COM16,TEL,,,"{""S"": 51, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -68, ""E"": -12, ""O"": -30, ""U"": 42, ""R"": 3}","@TEL,S=51,KP=2500,KI=80,KD=30,T=-80,M=-68,E=-12,O=-30,U=42,R=3"
