timestamp,direction,port,kind,source,event,fields_json,raw
2026-07-24T20:43:34.941+08:00,TX,COM16,LINK,,GET,{},[GET]
2026-07-24T20:43:35.192+08:00,RX,COM16,TEL,,,"{""S"": 860, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 120, ""E"": 0, ""O"": 0, ""U"": 88, ""R"": 8}","@TEL,S=860,KP=1800,KI=80,KD=30,T=120,M=120,E=0,O=0,U=88,R=8"
2026-07-24T20:43:35.193+08:00,RX,COM16,TEL,,,"{""S"": 861, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 120, ""E"": 0, ""O"": 0, ""U"": 88, ""R"": 9}","@TEL,S=861,KP=1800,KI=80,KD=30,T=120,M=120,E=0,O=0,U=88,R=9"
2026-07-24T20:43:35.636+08:00,RX,COM16,TEL,,,"{""S"": 862, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 120, ""E"": 0, ""O"": 0, ""U"": 88, ""R"": 9}","@TEL,S=862,KP=1800,KI=80,KD=30,T=120,M=120,E=0,O=0,U=88,R=9"
2026-07-24T20:43:36.210+08:00,RX,COM16,TEL,,,"{""S"": 863, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 120, ""E"": 0, ""O"": 0, ""U"": 88, ""R"": 9}","@TEL,S=863,KP=1800,KI=80,KD=30,T=120,M=120,E=0,O=0,U=88,R=9"
