timestamp,direction,port,kind,source,event,fields_json,raw
2026-07-24T20:43:16.741+08:00,TX,COM16,LINK,,GET,{},[GET]
2026-07-24T20:43:16.992+08:00,TX,COM16,LINK,SET,KP=1800,{},[SET:KP=1800]
2026-07-24T20:43:17.242+08:00,TX,COM16,LINK,SET,USER=88,{},[SET:USER=88]
2026-07-24T20:43:17.493+08:00,TX,COM16,LINK,SET,TGT=120,{},[SET:TGT=120]
2026-07-24T20:43:17.744+08:00,RX,COM16,TEL,,,"{""S"": 825, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 5}","@TEL,S=825,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=5"
2026-07-24T20:43:17.746+08:00,RX,COM16,ACK,,,"{""CMD"": ""KP"", ""VALUE"": 1800}","@ACK,CMD=KP,VALUE=1800"
2026-07-24T20:43:17.747+08:00,RX,COM16,TEL,,,"{""S"": 826, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 6}","@TEL,S=826,KP=1800,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=6"
2026-07-24T20:43:17.748+08:00,RX,COM16,TEL,,,"{""S"": 827, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 6}","@TEL,S=827,KP=1800,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=6"
2026-07-24T20:43:17.749+08:00,RX,COM16,ACK,,,"{""CMD"": ""USER"", ""VALUE"": 88}","@ACK,CMD=USER,VALUE=88"
2026-07-24T20:43:17.750+08:00,RX,COM16,TEL,,,"{""S"": 828, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 88, ""R"": 7}","@TEL,S=828,KP=1800,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=88,R=7"
2026-07-24T20:43:17.751+08:00,RX,COM16,ACK,,,"{""CMD"": ""TGT"", ""VALUE"": 120}","@ACK,CMD=TGT,VALUE=120"
2026-07-24T20:43:17.752+08:00,RX,COM16,TEL,,,"{""S"": 829, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 88, ""R"": 8}","@TEL,S=829,KP=1800,KI=80,KD=30,T=120,M=-80,E=0,O=0,U=88,R=8"
2026-07-24T20:43:18.118+08:00,RX,COM16,TEL,,,"{""S"": 830, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": -30, ""E"": 150, ""O"": 270, ""U"": 88, ""R"": 8}","@TEL,S=830,KP=1800,KI=80,KD=30,T=120,M=-30,E=150,O=270,U=88,R=8"
2026-07-24T20:43:18.687+08:00,RX,COM16,TEL,,,"{""S"": 831, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 7, ""E"": 113, ""O"": 203, ""U"": 88, ""R"": 8}","@TEL,S=831,KP=1800,KI=80,KD=30,T=120,M=7,E=113,O=203,U=88,R=8"
2026-07-24T20:43:19.238+08:00,RX,COM16,TEL,,,"{""S"": 832, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 35, ""E"": 85, ""O"": 153, ""U"": 88, ""R"": 8}","@TEL,S=832,KP=1800,KI=80,KD=30,T=120,M=35,E=85,O=153,U=88,R=8"
2026-07-24T20:43:19.808+08:00,RX,COM16,TEL,,,"{""S"": 833, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 56, ""E"": 64, ""O"": 115, ""U"": 88, ""R"": 8}","@TEL,S=833,KP=1800,KI=80,KD=30,T=120,M=56,E=64,O=115,U=88,R=8"
2026-07-24T20:43:20.361+08:00,RX,COM16,TEL,,,"{""S"": 834, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 72, ""E"": 48, ""O"": 86, ""U"": 88, ""R"": 8}","@TEL,S=834,KP=1800,KI=80,KD=30,T=120,M=72,E=48,O=86,U=88,R=8"
2026-07-24T20:43:20.933+08:00,RX,COM16,TEL,,,"{""S"": 835, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 84, ""E"": 36, ""O"": 64, ""U"": 88, ""R"": 8}","@TEL,S=835,KP=1800,KI=80,KD=30,T=120,M=84,E=36,O=64,U=88,R=8"
2026-07-24T20:43:21.489+08:00,RX,COM16,TEL,,,"{""S"": 836, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 93, ""E"": 27, ""O"": 48, ""U"": 88, ""R"": 8}","@TEL,S=836,KP=1800,KI=80,KD=30,T=120,M=93,E=27,O=48,U=88,R=8"
2026-07-24T20:43:22.058+08:00,RX,COM16,TEL,,,"{""S"": 837, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 99, ""E"": 21, ""O"": 37, ""U"": 88, ""R"": 8}","@TEL,S=837,KP=1800,KI=80,KD=30,T=120,M=99,E=21,O=37,U=88,R=8"
2026-07-24T20:43:22.625+08:00,RX,COM16,TEL,,,"{""S"": 838, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 104, ""E"": 16, ""O"": 28, ""U"": 88, ""R"": 8}","@TEL,S=838,KP=1800,KI=80,KD=30,T=120,M=104,E=16,O=28,U=88,R=8"
2026-07-24T20:43:23.199+08:00,RX,COM16,TEL,,,"{""S"": 839, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 108, ""E"": 12, ""O"": 21, ""U"": 88, ""R"": 8}","@TEL,S=839,KP=1800,KI=80,KD=30,T=120,M=108,E=12,O=21,U=88,R=8"
2026-07-24T20:43:23.758+08:00,RX,COM16,TEL,,,"{""S"": 840, ""KP"": 1800, ""KI"": 80, ""KD"": 30, ""T"": 120, ""M"": 111, ""E"": 9, ""O"": 16, ""U"": 88, ""R"": 8}","@TEL,S=840,KP=1800,KI=80,KD=30,T=120,M=111,E=9,O=16,U=88,R=8"
