timestamp,direction,port,kind,source,event,fields_json,raw
2026-07-24T20:42:47.071+08:00,TX,COM16,LINK,,GET,{},[GET]
2026-07-24T20:42:47.071+08:00,TX,COM16,LINK,SET,KP=1800,{},[SET:KP=1800]
2026-07-24T20:42:47.071+08:00,TX,COM16,LINK,SET,USER=88,{},[SET:USER=88]
2026-07-24T20:42:47.071+08:00,TX,COM16,LINK,SET,TGT=120,{},[SET:TGT=120]
2026-07-24T20:42:47.220+08:00,RX,COM16,TEL,,,"{""S"": 771, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=771,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:47.370+08:00,RX,COM16,TEL,,,"{""S"": 772, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=772,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:47.921+08:00,RX,COM16,TEL,,,"{""S"": 773, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=773,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:48.500+08:00,RX,COM16,TEL,,,"{""S"": 774, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=774,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:49.051+08:00,RX,COM16,TEL,,,"{""S"": 775, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=775,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:49.627+08:00,RX,COM16,TEL,,,"{""S"": 776, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=776,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:50.176+08:00,RX,COM16,TEL,,,"{""S"": 777, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=777,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:50.750+08:00,RX,COM16,TEL,,,"{""S"": 778, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=778,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:51.298+08:00,RX,COM16,TEL,,,"{""S"": 779, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=779,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:51.872+08:00,RX,COM16,TEL,,,"{""S"": 780, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=780,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:52.425+08:00,RX,COM16,TEL,,,"{""S"": 781, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=781,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
2026-07-24T20:42:52.983+08:00,RX,COM16,TEL,,,"{""S"": 782, ""KP"": 2500, ""KI"": 80, ""KD"": 30, ""T"": -80, ""M"": -80, ""E"": 0, ""O"": 0, ""U"": 42, ""R"": 4}","@TEL,S=782,KP=2500,KI=80,KD=30,T=-80,M=-80,E=0,O=0,U=42,R=4"
